flight_id,airline,source_airport,destination_airport
FL00000,AI,AP040,AP007
FL00001,AI,AP001,AP047
FL00002,AI,AP017,AP015
FL00003,AI,AP014,AP008
FL00004,AI,AP047,AP006
FL00005,AI,AP043,AP047
FL00006,AI,AP034,AP005
FL00007,AI,AP037,AP027
FL00008,AI,AP002,AP001
FL00009,AI,AP005,AP013
FL00010,AI,AP014,AP032
FL00011,AI,AP038,AP001
FL00012,AI,AP035,AP012
FL00013,AI,AP045,AP041
FL00014,AI,AP044,AP034
FL00015,AI,AP026,AP014
FL00016,AI,AP028,AP037
FL00017,AI,AP017,AP000
FL00018,AI,AP048,AP010
FL00019,AI,AP044,AP027
FL00020,AI,AP021,AP017
FL00021,AI,AP009,AP013
FL00022,AI,AP048,AP021
FL00023,AI,AP006,AP005
FL00024,AI,AP024,AP006
FL00025,AI,AP022,AP038
FL00026,AI,AP016,AP002
FL00027,AI,AP046,AP029
FL00028,AI,AP034,AP007
FL00029,AI,AP024,AP005
FL00030,AI,AP035,AP018
FL00031,AI,AP040,AP039
FL00032,AI,AP023,AP036
FL00033,AI,AP012,AP045
FL00034,AI,AP004,AP002
FL00035,AI,AP042,AP014
FL00036,AI,AP049,AP018
FL00037,AI,AP005,AP014
FL00038,AI,AP006,AP024
FL00039,AI,AP017,AP029
FL00040,AI,AP040,AP023
FL00041,AI,AP010,AP023
FL00042,AI,AP022,AP013
FL00043,AI,AP042,AP017
FL00044,AI,AP044,AP043
FL00045,AI,AP041,AP004
FL00046,AI,AP038,AP040
FL00047,AI,AP010,AP034
FL00048,AI,AP046,AP015
FL00049,AI,AP010,AP029
FL00050,AI,AP024,AP017
FL00051,AI,AP040,AP044
FL00052,AI,AP035,AP014
FL00053,AI,AP043,AP020
FL00054,AI,AP049,AP003
FL00055,AI,AP014,AP002
FL00056,AI,AP020,AP025
FL00057,AI,AP017,AP004
FL00058,AI,AP013,AP036
FL00059,AI,AP045,AP020
FL00060,AI,AP013,AP041
FL00061,AI,AP031,AP025
FL00062,AI,AP041,AP029
FL00063,AI,AP009,AP016
FL00064,AI,AP008,AP015
FL00065,AI,AP047,AP035
FL00066,AI,AP034,AP016
FL00067,AI,AP047,AP037
FL00068,AI,AP027,AP037
FL00069,AI,AP025,AP023
FL00070,AI,AP014,AP008
FL00071,AI,AP032,AP031
FL00072,AI,AP005,AP048
FL00073,AI,AP003,AP007
FL00074,AI,AP009,AP040
FL00075,AI,AP010,AP043
FL00076,AI,AP027,AP038
FL00077,AI,AP004,AP024
FL00078,AI,AP024,AP038
FL00079,AI,AP029,AP033
FL00080,AI,AP016,AP035
FL00081,AI,AP000,AP043
FL00082,AI,AP046,AP007
FL00083,AI,AP043,AP034
FL00084,AI,AP048,AP017
FL00085,AI,AP049,AP041
FL00086,AI,AP021,AP007
FL00087,AI,AP018,AP027
FL00088,AI,AP010,AP029
FL00089,AI,AP000,AP046
FL00090,AI,AP046,AP016
FL00091,AI,AP032,AP048
FL00092,AI,AP011,AP032
FL00093,AI,AP006,AP040
FL00094,AI,AP019,AP040
FL00095,AI,AP032,AP038
FL00096,AI,AP012,AP009
FL00097,AI,AP023,AP048
FL00098,AI,AP010,AP034
FL00099,AI,AP049,AP033
FL00100,AI,AP000,AP038
FL00101,AI,AP020,AP031
FL00102,AI,AP001,AP007
FL00103,AI,AP023,AP019
FL00104,AI,AP015,AP003
FL00105,AI,AP015,AP036
FL00106,AI,AP005,AP046
FL00107,AI,AP031,AP004
FL00108,AI,AP048,AP034
FL00109,AI,AP049,AP008
FL00110,AI,AP008,AP042
FL00111,AI,AP030,AP035
FL00112,AI,AP010,AP016
FL00113,AI,AP033,AP038
FL00114,AI,AP027,AP013
FL00115,AI,AP034,AP048
FL00116,AI,AP046,AP044
FL00117,AI,AP012,AP045
FL00118,AI,AP019,AP025
FL00119,AI,AP042,AP041
FL00120,AI,AP023,AP028
FL00121,AI,AP033,AP028
FL00122,AI,AP007,AP015
FL00123,AI,AP014,AP004
FL00124,AI,AP021,AP001
FL00125,AI,AP037,AP035
FL00126,AI,AP014,AP037
FL00127,AI,AP014,AP000
FL00128,AI,AP004,AP045
FL00129,AI,AP040,AP003
FL00130,AI,AP014,AP004
FL00131,AI,AP002,AP021
FL00132,AI,AP004,AP032
FL00133,AI,AP015,AP017
FL00134,AI,AP042,AP031
FL00135,AI,AP013,AP034
FL00136,AI,AP008,AP046
FL00137,AI,AP036,AP030
FL00138,AI,AP015,AP030
FL00139,AI,AP026,AP012
FL00140,AI,AP006,AP042
FL00141,AI,AP027,AP022
FL00142,AI,AP027,AP026
FL00143,AI,AP029,AP046
FL00144,AI,AP003,AP043
FL00145,AI,AP041,AP006
FL00146,AI,AP003,AP025
FL00147,AI,AP046,AP021
FL00148,AI,AP006,AP015
FL00149,AI,AP012,AP034
FL00150,AI,AP028,AP008
FL00151,AI,AP027,AP011
FL00152,AI,AP017,AP029
FL00153,AI,AP015,AP004
FL00154,AI,AP028,AP035
FL00155,AI,AP006,AP003
FL00156,AI,AP041,AP034
FL00157,AI,AP000,AP005
FL00158,AI,AP048,AP015
FL00159,AI,AP010,AP026
FL00160,AI,AP031,AP030
FL00161,AI,AP013,AP025
FL00162,AI,AP003,AP010
FL00163,AI,AP024,AP000
FL00164,AI,AP024,AP016
FL00165,AI,AP029,AP018
FL00166,AI,AP027,AP044
FL00167,AI,AP046,AP035
FL00168,AI,AP042,AP045
FL00169,AI,AP031,AP009
FL00170,AI,AP012,AP018
FL00171,AI,AP013,AP003
FL00172,AI,AP037,AP047
FL00173,AI,AP034,AP003
FL00174,AI,AP047,AP020
FL00175,AI,AP003,AP037
FL00176,AI,AP030,AP032
FL00177,AI,AP033,AP010
FL00178,AI,AP003,AP032
FL00179,AI,AP005,AP011
FL00180,AI,AP004,AP038
FL00181,AI,AP004,AP043
FL00182,AI,AP015,AP025
FL00183,AI,AP007,AP036
FL00184,AI,AP015,AP037
FL00185,AI,AP038,AP002
FL00186,AI,AP039,AP005
FL00187,AI,AP026,AP042
FL00188,AI,AP037,AP036
FL00189,AI,AP033,AP020
FL00190,AI,AP016,AP013
FL00191,AI,AP042,AP045
FL00192,AI,AP020,AP015
FL00193,AI,AP016,AP025
FL00194,AI,AP008,AP042
FL00195,AI,AP041,AP019
FL00196,AI,AP029,AP020
FL00197,AI,AP048,AP004
FL00198,AI,AP000,AP029
FL00199,AI,AP039,AP036
FL00200,AI,AP006,AP004
FL00201,AI,AP034,AP013
FL00202,AI,AP032,AP016
FL00203,AI,AP008,AP022
FL00204,AI,AP004,AP015
FL00205,AI,AP023,AP018
FL00206,AI,AP010,AP028
FL00207,AI,AP034,AP045
FL00208,AI,AP019,AP039
FL00209,AI,AP041,AP033
FL00210,AI,AP000,AP042
FL00211,AI,AP035,AP019
FL00212,AI,AP042,AP006
FL00213,AI,AP008,AP016
FL00214,AI,AP007,AP006
FL00215,AI,AP047,AP035
FL00216,AI,AP009,AP017
FL00217,AI,AP018,AP038
FL00218,AI,AP013,AP045
FL00219,AI,AP021,AP013
FL00220,AI,AP043,AP040
FL00221,AI,AP016,AP032
FL00222,AI,AP031,AP016
FL00223,AI,AP003,AP005
FL00224,AI,AP040,AP027
FL00225,AI,AP017,AP002
FL00226,AI,AP000,AP021
FL00227,AI,AP049,AP008
FL00228,AI,AP040,AP016
FL00229,AI,AP010,AP047
FL00230,AI,AP028,AP035
FL00231,AI,AP045,AP027
FL00232,AI,AP035,AP000
FL00233,AI,AP007,AP004
FL00234,AI,AP044,AP009
FL00235,AI,AP034,AP002
FL00236,AI,AP023,AP037
FL00237,AI,AP035,AP009
FL00238,AI,AP027,AP008
FL00239,AI,AP002,AP019
FL00240,AI,AP023,AP002
FL00241,AI,AP022,AP013
FL00242,AI,AP043,AP015
FL00243,AI,AP042,AP006
FL00244,AI,AP022,AP049
FL00245,AI,AP035,AP026
FL00246,AI,AP039,AP047
FL00247,AI,AP009,AP015
FL00248,AI,AP010,AP011
FL00249,AI,AP026,AP001
FL00250,AI,AP011,AP047
FL00251,AI,AP021,AP026
FL00252,AI,AP042,AP047
FL00253,AI,AP015,AP017
FL00254,AI,AP010,AP044
FL00255,AI,AP006,AP024
FL00256,AI,AP002,AP030
FL00257,AI,AP014,AP012
FL00258,AI,AP029,AP022
FL00259,AI,AP019,AP014
FL00260,AI,AP014,AP001
FL00261,AI,AP042,AP012
FL00262,AI,AP025,AP021
FL00263,AI,AP017,AP004
FL00264,AI,AP049,AP017
FL00265,AI,AP022,AP041
FL00266,AI,AP032,AP025
FL00267,AI,AP043,AP034
FL00268,AI,AP021,AP001
FL00269,AI,AP007,AP016
FL00270,AI,AP011,AP037
FL00271,AI,AP016,AP002
FL00272,AI,AP006,AP038
FL00273,AI,AP027,AP022
FL00274,AI,AP046,AP020
FL00275,AI,AP027,AP038
FL00276,AI,AP032,AP007
FL00277,AI,AP024,AP036
FL00278,AI,AP012,AP016
FL00279,AI,AP002,AP045
FL00280,AI,AP027,AP000
FL00281,AI,AP033,AP034
FL00282,AI,AP043,AP046
FL00283,AI,AP047,AP042
FL00284,AI,AP012,AP023
FL00285,AI,AP027,AP004
FL00286,AI,AP042,AP021
FL00287,AI,AP039,AP020
FL00288,AI,AP042,AP007
FL00289,AI,AP046,AP019
FL00290,AI,AP032,AP019
FL00291,AI,AP042,AP026
FL00292,AI,AP020,AP025
FL00293,AI,AP044,AP018
FL00294,AI,AP035,AP008
FL00295,AI,AP012,AP026
FL00296,AI,AP042,AP024
FL00297,AI,AP043,AP047
FL00298,AI,AP011,AP039
FL00299,AI,AP036,AP019
FL00300,AI,AP025,AP035
FL00301,AI,AP000,AP019
FL00302,AI,AP018,AP013
FL00303,AI,AP027,AP037
FL00304,AI,AP038,AP041
FL00305,AI,AP020,AP029
FL00306,AI,AP028,AP043
FL00307,AI,AP013,AP032
FL00308,AI,AP030,AP047
FL00309,AI,AP010,AP042
FL00310,AI,AP005,AP018
FL00311,AI,AP032,AP042
FL00312,AI,AP040,AP039
FL00313,AI,AP021,AP005
FL00314,AI,AP048,AP015
FL00315,AI,AP043,AP019
FL00316,AI,AP014,AP012
FL00317,AI,AP009,AP001
FL00318,AI,AP002,AP015
FL00319,AI,AP030,AP039
FL00320,AI,AP049,AP004
FL00321,AI,AP029,AP026
FL00322,AI,AP040,AP036
FL00323,AI,AP012,AP045
FL00324,AI,AP044,AP024
FL00325,AI,AP031,AP025
FL00326,AI,AP015,AP009
FL00327,AI,AP041,AP044
FL00328,AI,AP000,AP048
FL00329,AI,AP049,AP006
FL00330,AI,AP049,AP027
FL00331,AI,AP014,AP011
FL00332,AI,AP044,AP033
FL00333,AI,AP029,AP003
FL00334,AI,AP035,AP015
FL00335,AI,AP007,AP029
FL00336,AI,AP008,AP029
FL00337,AI,AP042,AP033
FL00338,AI,AP035,AP038
FL00339,AI,AP020,AP048
FL00340,AI,AP028,AP039
FL00341,AI,AP046,AP032
FL00342,AI,AP027,AP035
FL00343,AI,AP028,AP010
FL00344,AI,AP047,AP030
FL00345,AI,AP028,AP016
FL00346,AI,AP048,AP015
FL00347,AI,AP040,AP017
FL00348,AI,AP049,AP033
FL00349,AI,AP031,AP040
FL00350,AI,AP015,AP017
FL00351,AI,AP028,AP004
FL00352,AI,AP045,AP018
FL00353,AI,AP015,AP017
FL00354,AI,AP021,AP020
FL00355,AI,AP034,AP005
FL00356,AI,AP008,AP009
FL00357,AI,AP014,AP024
FL00358,AI,AP044,AP009
FL00359,AI,AP045,AP013
FL00360,AI,AP004,AP026
FL00361,AI,AP026,AP021
FL00362,AI,AP034,AP029
FL00363,AI,AP026,AP003
FL00364,AI,AP013,AP026
FL00365,AI,AP024,AP049
FL00366,AI,AP037,AP044
FL00367,AI,AP001,AP048
FL00368,AI,AP036,AP024
FL00369,AI,AP030,AP000
FL00370,AI,AP022,AP019
FL00371,AI,AP048,AP024
FL00372,AI,AP026,AP034
FL00373,AI,AP047,AP034
FL00374,AI,AP038,AP014
FL00375,AI,AP031,AP014
FL00376,AI,AP017,AP027
FL00377,AI,AP031,AP001
FL00378,AI,AP024,AP021
FL00379,AI,AP042,AP043
FL00380,AI,AP025,AP046
FL00381,AI,AP010,AP029
FL00382,AI,AP008,AP039
FL00383,AI,AP034,AP001
FL00384,AI,AP025,AP037
FL00385,AI,AP036,AP042
FL00386,AI,AP001,AP005
FL00387,AI,AP041,AP027
FL00388,AI,AP008,AP029
FL00389,AI,AP011,AP003
FL00390,AI,AP016,AP024
FL00391,AI,AP020,AP013
FL00392,AI,AP029,AP020
FL00393,AI,AP021,AP048
FL00394,AI,AP024,AP017
FL00395,AI,AP048,AP026
FL00396,AI,AP016,AP005
FL00397,AI,AP030,AP001
FL00398,AI,AP047,AP034
FL00399,AI,AP003,AP022
FL00400,AI,AP014,AP041
FL00401,AI,AP004,AP049
FL00402,AI,AP041,AP002
FL00403,AI,AP048,AP001
FL00404,AI,AP015,AP012
FL00405,AI,AP001,AP039
FL00406,AI,AP009,AP015
FL00407,AI,AP008,AP030
FL00408,AI,AP042,AP007
FL00409,AI,AP036,AP013
FL00410,AI,AP029,AP044
FL00411,AI,AP016,AP049
FL00412,AI,AP023,AP010
FL00413,AI,AP038,AP047
FL00414,AI,AP045,AP007
FL00415,AI,AP049,AP010
FL00416,AI,AP019,AP006
FL00417,AI,AP037,AP001
FL00418,AI,AP019,AP036
FL00419,AI,AP043,AP024
FL00420,AI,AP025,AP045
FL00421,AI,AP012,AP004
FL00422,AI,AP037,AP044
FL00423,AI,AP040,AP015
FL00424,AI,AP006,AP044
FL00425,AI,AP049,AP019
FL00426,AI,AP043,AP038
FL00427,AI,AP007,AP036
FL00428,AI,AP002,AP022
FL00429,AI,AP034,AP027
FL00430,AI,AP042,AP023
FL00431,AI,AP004,AP032
FL00432,AI,AP041,AP021
FL00433,AI,AP000,AP026
FL00434,AI,AP031,AP006
FL00435,AI,AP027,AP023
FL00436,AI,AP040,AP029
FL00437,AI,AP045,AP009
FL00438,AI,AP027,AP011
FL00439,AI,AP046,AP033
FL00440,AI,AP041,AP017
FL00441,AI,AP039,AP034
FL00442,AI,AP049,AP030
FL00443,AI,AP029,AP027
FL00444,AI,AP046,AP037
FL00445,AI,AP017,AP020
FL00446,AI,AP015,AP005
FL00447,AI,AP017,AP028
FL00448,AI,AP015,AP048
FL00449,AI,AP029,AP036
FL00450,AI,AP039,AP042
FL00451,AI,AP024,AP021
FL00452,AI,AP001,AP031
FL00453,AI,AP020,AP011
FL00454,AI,AP031,AP013
FL00455,AI,AP022,AP016
FL00456,AI,AP021,AP017
FL00457,AI,AP038,AP044
FL00458,AI,AP017,AP035
FL00459,AI,AP000,AP033
FL00460,AI,AP012,AP005
FL00461,AI,AP015,AP046
FL00462,AI,AP026,AP031
FL00463,AI,AP035,AP048
