passenger_id,name,passenger_type,loyalty_level
P000000,Passenger_0,LOYALTY,2
P000001,Passenger_1,VIP,3
P000002,Passenger_2,UNACCOMPANIED_MINOR,0
P000003,Passenger_3,UNACCOMPANIED_MINOR,4
P000004,Passenger_4,LOYALTY,5
P000005,Passenger_5,LOYALTY,4
P000006,Passenger_6,VIP,1
P000007,Passenger_7,LOYALTY,5
P000008,Passenger_8,NORMAL,1
P000009,Passenger_9,VIP,2
P000010,Passenger_10,UNACCOMPANIED_MINOR,0
P000011,Passenger_11,UNACCOMPANIED_MINOR,5
P000012,Passenger_12,UNACCOMPANIED_MINOR,4
P000013,Passenger_13,VIP,3
P000014,Passenger_14,UNACCOMPANIED_MINOR,5
P000015,Passenger_15,UNACCOMPANIED_MINOR,4
P000016,Passenger_16,NORMAL,4
P000017,Passenger_17,UNACCOMPANIED_MINOR,1
P000018,Passenger_18,UNACCOMPANIED_MINOR,5
P000019,Passenger_19,NORMAL,1
P000020,Passenger_20,VIP,4
P000021,Passenger_21,VIP,5
P000022,Passenger_22,VIP,4
P000023,Passenger_23,LOYALTY,5
P000024,Passenger_24,NORMAL,0
P000025,Passenger_25,VIP,5
P000026,Passenger_26,UNACCOMPANIED_MINOR,1
P000027,Passenger_27,LOYALTY,5
P000028,Passenger_28,VIP,5
P000029,Passenger_29,NORMAL,0
P000030,Passenger_30,VIP,3
P000031,Passenger_31,LOYALTY,3
P000032,Passenger_32,UNACCOMPANIED_MINOR,4
P000033,Passenger_33,UNACCOMPANIED_MINOR,1
P000034,Passenger_34,UNACCOMPANIED_MINOR,5
P000035,Passenger_35,LOYALTY,4
P000036,Passenger_36,UNACCOMPANIED_MINOR,2
P000037,Passenger_37,VIP,4
P000038,Passenger_38,UNACCOMPANIED_MINOR,5
P000039,Passenger_39,UNACCOMPANIED_MINOR,4
P000040,Passenger_40,NORMAL,5
P000041,Passenger_41,UNACCOMPANIED_MINOR,4
P000042,Passenger_42,LOYALTY,1
P000043,Passenger_43,NORMAL,0
P000044,Passenger_44,NORMAL,0
P000045,Passenger_45,NORMAL,0
P000046,Passenger_46,VIP,1
P000047,Passenger_47,UNACCOMPANIED_MINOR,5
P000048,Passenger_48,UNACCOMPANIED_MINOR,4
P000049,Passenger_49,NORMAL,3
P000050,Passenger_50,LOYALTY,2
P000051,Passenger_51,NORMAL,2
P000052,Passenger_52,UNACCOMPANIED_MINOR,2
P000053,Passenger_53,VIP,0
P000054,Passenger_54,VIP,4
P000055,Passenger_55,NORMAL,4
P000056,Passenger_56,UNACCOMPANIED_MINOR,3
P000057,Passenger_57,NORMAL,5
P000058,Passenger_58,NORMAL,5
P000059,Passenger_59,NORMAL,0
P000060,Passenger_60,VIP,5
P000061,Passenger_61,VIP,4
P000062,Passenger_62,UNACCOMPANIED_MINOR,1
P000063,Passenger_63,VIP,1
P000064,Passenger_64,LOYALTY,3
P000065,Passenger_65,VIP,5
P000066,Passenger_66,UNACCOMPANIED_MINOR,3
P000067,Passenger_67,VIP,5
P000068,Passenger_68,LOYALTY,4
P000069,Passenger_69,VIP,4
P000070,Passenger_70,LOYALTY,0
P000071,Passenger_71,VIP,0
P000072,Passenger_72,UNACCOMPANIED_MINOR,0
P000073,Passenger_73,UNACCOMPANIED_MINOR,1
P000074,Passenger_74,VIP,0
P000075,Passenger_75,LOYALTY,5
P000076,Passenger_76,LOYALTY,2
P000077,Passenger_77,LOYALTY,1
P000078,Passenger_78,VIP,1
P000079,Passenger_79,UNACCOMPANIED_MINOR,3
P000080,Passenger_80,VIP,5
P000081,Passenger_81,UNACCOMPANIED_MINOR,5
P000082,Passenger_82,UNACCOMPANIED_MINOR,3
P000083,Passenger_83,UNACCOMPANIED_MINOR,1
P000084,Passenger_84,VIP,5
P000085,Passenger_85,LOYALTY,3
P000086,Passenger_86,VIP,4
P000087,Passenger_87,UNACCOMPANIED_MINOR,2
P000088,Passenger_88,NORMAL,1
P000089,Passenger_89,NORMAL,0
P000090,Passenger_90,VIP,5
P000091,Passenger_91,UNACCOMPANIED_MINOR,4
P000092,Passenger_92,NORMAL,2
P000093,Passenger_93,NORMAL,3
P000094,Passenger_94,UNACCOMPANIED_MINOR,0
P000095,Passenger_95,LOYALTY,4
P000096,Passenger_96,NORMAL,3
