pnr_id,passenger_id,flight_id,seat_class
PNR000000,P000000,FL01633,ECONOMY
PNR000001,P000001,FL08554,FIRST
PNR000002,P000002,FL09848,ECONOMY
PNR000003,P000003,FL00947,BUSINESS
PNR000004,P000004,FL01872,BUSINESS
PNR000005,P000005,FL07588,BUSINESS
PNR000006,P000006,FL05106,FIRST
PNR000007,P000007,FL06013,FIRST
PNR000008,P000008,FL05461,ECONOMY
PNR000009,P000009,FL05722,BUSINESS
PNR000010,P000010,FL01571,BUSINESS
PNR000011,P000011,FL04340,ECONOMY
PNR000012,P000012,FL03238,FIRST
PNR000013,P000013,FL07306,BUSINESS
PNR000014,P000014,FL07141,ECONOMY
PNR000015,P000015,FL05489,BUSINESS
PNR000016,P000016,FL09916,ECONOMY
PNR000017,P000017,FL03367,FIRST
PNR000018,P000018,FL02465,ECONOMY
PNR000019,P000019,FL04003,ECONOMY
PNR000020,P000020,FL03243,ECONOMY
PNR000021,P000021,FL09287,ECONOMY
PNR000022,P000022,FL00386,BUSINESS
PNR000023,P000023,FL06108,FIRST
PNR000024,P000024,FL01041,FIRST
PNR000025,P000025,FL03686,BUSINESS
PNR000026,P000026,FL02569,FIRST
PNR000027,P000027,FL03280,BUSINESS
PNR000028,P000028,FL07013,FIRST
PNR000029,P000029,FL08598,BUSINESS
PNR000030,P000030,FL09910,FIRST
PNR000031,P000031,FL09976,ECONOMY
PNR000032,P000032,FL00322,FIRST
PNR000033,P000033,FL08101,BUSINESS
PNR000034,P000034,FL06525,BUSINESS
PNR000035,P000035,FL08431,BUSINESS
PNR000036,P000036,FL08751,FIRST
PNR000037,P000037,FL05004,FIRST
PNR000038,P000038,FL02721,FIRST
PNR000039,P000039,FL03380,BUSINESS
PNR000040,P000040,FL06674,BUSINESS
PNR000041,P000041,FL04705,BUSINESS
PNR000042,P000042,FL03504,BUSINESS
PNR000043,P000043,FL05919,BUSINESS
PNR000044,P000044,FL07043,ECONOMY
PNR000045,P000045,FL08616,BUSINESS
PNR000046,P000046,FL01426,BUSINESS
PNR000047,P000047,FL07654,BUSINESS
PNR000048,P000048,FL09809,BUSINESS
PNR000049,P000049,FL07810,FIRST
PNR000050,P000050,FL08228,FIRST
PNR000051,P000051,FL08085,BUSINESS
PNR000052,P000052,FL02067,BUSINESS
PNR000053,P000053,FL07829,BUSINESS
PNR000054,P000054,FL03691,ECONOMY
PNR000055,P000055,FL02811,FIRST
PNR000056,P000056,FL05482,ECONOMY
PNR000057,P000057,FL07154,FIRST
PNR000058,P000058,FL09417,BUSINESS
PNR000059,P000059,FL07963,BUSINESS
PNR000060,P000060,FL00919,ECONOMY
PNR000061,P000061,FL05768,ECONOMY
PNR000062,P000062,FL09313,ECONOMY
PNR000063,P000063,FL02091,ECONOMY
PNR000064,P000064,FL06452,ECONOMY
PNR000065,P000065,FL02526,FIRST
PNR000066,P000066,FL04400,ECONOMY
PNR000067,P000067,FL05710,BUSINESS
PNR000068,P000068,FL05254,FIRST
PNR000069,P000069,FL09696,FIRST
PNR000070,P000070,FL03947,BUSINESS
PNR000071,P000071,FL04392,BUSINESS
