flight_id,total_seats,available_seats
FL00000,175,175
FL00001,142,142
FL00002,160,160
FL00003,144,144
FL00004,206,206
FL00005,217,217
FL00006,200,200
FL00007,188,188
FL00008,156,156
FL00009,178,178
FL00010,171,171
FL00011,216,216
FL00012,169,169
FL00013,197,197
FL00014,130,130
FL00015,196,196
FL00016,164,164
FL00017,144,144
FL00018,125,125
FL00019,132,132
FL00020,170,170
FL00021,156,156
FL00022,183,183
FL00023,137,137
FL00024,187,187
FL00025,200,200
FL00026,171,171
FL00027,135,135
FL00028,180,180
FL00029,157,157
FL00030,206,206
FL00031,211,211
FL00032,168,168
FL00033,186,186
FL00034,160,160
FL00035,194,194
FL00036,121,121
FL00037,137,137
FL00038,220,220
FL00039,207,207
FL00040,169,169
FL00041,136,136
FL00042,197,197
FL00043,177,177
FL00044,169,169
FL00045,130,130
FL00046,135,135
FL00047,217,217
FL00048,169,169
FL00049,169,169
FL00050,137,137
FL00051,218,218
FL00052,212,212
FL00053,189,189
FL00054,171,171
FL00055,175,175
FL00056,121,121
FL00057,218,218
FL00058,144,144
FL00059,159,159
FL00060,196,196
FL00061,186,186
FL00062,136,136
FL00063,154,154
FL00064,171,171
FL00065,190,190
FL00066,196,196
FL00067,200,200
FL00068,220,220
FL00069,206,206
FL00070,172,172
FL00071,181,181
FL00072,203,203
FL00073,125,125
FL00074,135,135
FL00075,170,170
FL00076,167,167
FL00077,168,168
FL00078,140,140
FL00079,183,183
FL00080,215,215
FL00081,182,182
FL00082,207,207
FL00083,157,157
FL00084,125,125
FL00085,140,140
FL00086,128,128
FL00087,166,166
FL00088,183,183
FL00089,136,136
FL00090,146,146
FL00091,131,131
FL00092,211,211
FL00093,138,138
FL00094,161,161
FL00095,138,138
FL00096,155,155
FL00097,142,142
FL00098,145,145
FL00099,163,163
FL00100,139,139
FL00101,163,163
FL00102,215,215
FL00103,169,169
FL00104,124,124
FL00105,120,120
FL00106,186,186
FL00107,161,161
FL00108,215,215
FL00109,186,186
FL00110,199,199
FL00111,159,159
FL00112,196,196
FL00113,169,169
FL00114,128,128
FL00115,177,177
FL00116,143,143
FL00117,133,133
FL00118,166,166
FL00119,127,127
FL00120,163,163
FL00121,218,218
FL00122,139,139
FL00123,121,121
FL00124,200,200
FL00125,166,166
FL00126,213,213
FL00127,149,149
FL00128,162,162
FL00129,145,145
FL00130,218,218
FL00131,131,131
FL00132,144,144
FL00133,212,212
FL00134,135,135
FL00135,185,185
FL00136,154,154
FL00137,167,167
FL00138,172,172
FL00139,122,122
FL00140,162,162
FL00141,198,198
FL00142,199,199
FL00143,149,149
FL00144,156,156
FL00145,204,204
FL00146,139,139
FL00147,151,151
FL00148,139,139
FL00149,136,136
FL00150,212,212
FL00151,211,211
FL00152,211,211
FL00153,135,135
FL00154,120,120
FL00155,197,197
FL00156,130,130
FL00157,138,138
FL00158,194,194
FL00159,154,154
FL00160,153,153
FL00161,215,215
FL00162,148,148
FL00163,212,212
FL00164,133,133
FL00165,155,155
FL00166,209,209
FL00167,202,202
FL00168,129,129
FL00169,155,155
FL00170,123,123
FL00171,188,188
FL00172,182,182
FL00173,185,185
FL00174,148,148
FL00175,153,153
FL00176,208,208
FL00177,145,145
FL00178,207,207
FL00179,201,201
FL00180,179,179
FL00181,181,181
FL00182,195,195
FL00183,217,217
FL00184,189,189
FL00185,139,139
FL00186,208,208
FL00187,158,158
FL00188,125,125
FL00189,216,216
FL00190,139,139
FL00191,132,132
FL00192,134,134
FL00193,174,174
FL00194,187,187
FL00195,138,138
FL00196,149,149
FL00197,131,131
FL00198,147,147
FL00199,182,182
FL00200,199,199
FL00201,192,192
FL00202,207,207
FL00203,215,215
FL00204,186,186
FL00205,130,130
FL00206,184,184
FL00207,133,133
FL00208,203,203
